Description,Start date,Start time,End date,End time,Duration
#2054 5.0 All Together Now ~ 3 hrs,2017-03-20,13:08:23,2017-03-20,13:33:23,00:25:00
#2054 5.0 All Together Now ~ 3 hrs,2017-03-20,13:33:32,2017-03-20,13:58:32,00:25:00
#2054 5.0 All Together Now ~ 3 hrs,2017-03-20,13:58:33,2017-03-20,13:59:51,00:01:18
#1234 0.1 Sprint Concepts,2017-03-20,14:44:34,2017-03-20,14:52:14,00:07:40
#1234 0.1 Sprint Concepts,2017-03-20,15:01:07,2017-03-20,15:11:54,00:10:47
#1234 0.1 Sprint Concepts,2017-03-20,15:36:39,2017-03-20,15:45:52,00:09:13
#2032 5.1 Program Structure ~ 3 hrs,2017-03-20,16:39:53,2017-03-20,16:39:57,00:00:04
#2032 5.1 Program Structure ~ 3 hrs,2017-03-20,16:39:58,2017-03-20,17:04:58,00:25:00
#2032 5.1 Program Structure ~ 3 hrs,2017-03-20,17:36:58,2017-03-20,17:52:43,00:15:45
#2500 5.2 Event handling ~ 2 hours,2017-03-22,12:27:02,2017-03-22,12:35:18,00:08:16
#2500 5.2 Event handling ~ 2 hours,2017-03-22,12:40:06,2017-03-22,13:05:06,00:25:00
#2500 5.2 Event handling ~ 2 hours,2017-03-22,13:06:12,2017-03-22,13:22:05,00:15:53
#2522 5.3 Altering the DOM ~ 2 hours,2017-03-22,13:22:41,2017-03-22,13:38:38,00:15:57
#2544 5.4 Event-driven DOM modification,2017-03-22,13:40:14,2017-03-22,14:01:16,00:21:02
#2566 5.5 Debugging,2017-03-22,14:01:58,2017-03-22,14:04:09,00:02:11
#2588 5.6 Cultural Blog ~ 1.5 hrs,2017-03-23,15:54:06,2017-03-23,16:19:06,00:25:00
#2588 5.6 Cultural Blog ~ 1.5 hrs,2017-03-23,16:19:08,2017-03-23,16:19:20,00:00:12
#2588 5.6 Cultural Blog ~ 1.5 hrs,2017-03-23,16:23:13,2017-03-23,16:48:13,00:25:00
#2588 5.6 Cultural Blog ~ 1.5 hrs,2017-03-23,16:48:18,2017-03-23,17:13:18,00:25:00
#2588 5.6 Cultural Blog ~ 1.5 hrs,2017-03-23,17:13:19,2017-03-23,17:24:53,00:11:34
#2610 5.7 Technical Blog ~ 1.5 hr,2017-03-23,17:25:24,2017-03-23,17:50:24,00:25:00
#2610 5.7 Technical Blog ~ 1.5 hr,2017-03-23,17:50:26,2017-03-23,18:12:26,00:22:00
#2610 5.7 Technical Blog ~ 1.5 hr,2017-03-23,18:22:10,2017-03-23,18:40:35,00:18:25
#2632 5.8 Reflection ~ 15 mins,2017-03-23,18:40:55,2017-03-23,19:02:55,00:22:00
