Description,Duration
#2965 7.5 Reflection ~ 15 mins,00:00:17
#2965 7.5 Reflection ~ 15 mins,00:14:59
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:11:44
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:25:00
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:25:00
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:25:00
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:25:00
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:25:00
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:25:00
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:15:41
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:25:00
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:25:00
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:25:00
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:11:05
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:14:59
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:25:00
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:25:00
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:25:00
#3251 8.1 Build a calculator (Pair) ~ 6 hrs,00:22:13
#3232 8.2 Writing short functions ~ 2h,00:20:01
#3213 8.3 Technical Blog ~ 1 hr,00:20:10
#3194 8.4 Cultural Blog ~ 2 hrs,01:25:00
#3194 8.4 Cultural Blog ~ 2 hrs,00:00:27
#3175 8.5 Reflection ~ 15 mins,00:25:00
#3175 8.5 Reflection ~ 15 mins,00:01:13
